category_name,days_trended
Music,3.167475035663338
Comedy,2.081408345752608
Science & Technology,1.9994239631336406
Travel & Events,1.8904593639575973
Film & Animation,1.8610448731844786
Gaming,1.802360937220533
Pets & Animals,1.768701633705933
Education,1.760225324516287
Entertainment,1.7591444981862152
Movies,1.75
Howto & Style,1.7472031201888536
Trailers,1.6666666666666667
News & Politics,1.5284252287994229
Sports,1.5025474414826847
Shows,1.4694376528117359
People & Blogs,1.4680652820774849
Autos & Vehicles,1.3290322580645162
Nonprofits & Activism,1.3059889280322095
